Date,Measure,Value
2019-01-01,sum_75_weighted,2.92465
2019-02-01,sum_75_weighted,2.922365
2019-03-01,sum_75_weighted,2.9055
2019-04-01,sum_75_weighted,2.9109
2019-05-01,sum_75_weighted,2.90435
2019-06-01,sum_75_weighted,2.90015
2019-07-01,sum_75_weighted,2.90527492
2019-08-01,sum_75_weighted,2.887575
2019-09-01,sum_75_weighted,2.91955
2019-10-01,sum_75_weighted,2.877375
2019-11-01,sum_75_weighted,2.937175
2019-12-01,sum_75_weighted,2.94795
2020-01-01,sum_75_weighted,2.97355
2020-02-01,sum_75_weighted,2.939175
2020-03-01,sum_75_weighted,2.981725
2020-04-01,sum_75_weighted,2.819925
2020-05-01,sum_75_weighted,2.9137625
2020-06-01,sum_75_weighted,2.967225
2020-07-01,sum_75_weighted,2.94755
2020-08-01,sum_75_weighted,2.97755
2020-09-01,sum_75_weighted,2.98322492
2020-10-01,sum_75_weighted,2.948575
2020-11-01,sum_75_weighted,2.99875
2020-12-01,sum_75_weighted,3.10165
2021-01-01,sum_75_weighted,3.010675
2021-02-01,sum_75_weighted,2.971475
2021-03-01,sum_75_weighted,2.985775
2021-04-01,sum_75_weighted,2.96415
2021-05-01,sum_75_weighted,3.09635
2021-06-01,sum_75_weighted,3.032925
2021-07-01,sum_75_weighted,2.9748625
2021-08-01,sum_75_weighted,2.9679
2021-09-01,sum_75_weighted,3.066
2021-10-01,sum_75_weighted,3.036825
2021-11-01,sum_75_weighted,3.056825
2021-12-01,sum_75_weighted,3.1389
2022-01-01,sum_75_weighted,3.1412875
2022-02-01,sum_75_weighted,3.193925
2022-03-01,sum_75_weighted,3.16505
2022-04-01,sum_75_weighted,3.291125
2022-05-01,sum_75_weighted,3.226175
2022-06-01,sum_75_weighted,3.452225
2022-07-01,sum_75_weighted,3.46405
2022-08-01,sum_75_weighted,3.463695
2022-09-01,sum_75_weighted,3.53835
2022-10-01,sum_75_weighted,3.5914
2022-11-01,sum_75_weighted,3.6667375
2006-01-01,sum_25_weighted,1.501125
2006-02-01,sum_25_weighted,1.480945
2006-03-01,sum_25_weighted,1.493485
2006-04-01,sum_25_weighted,1.495195
2006-05-01,sum_25_weighted,1.520145
2006-06-01,sum_25_weighted,1.546575
2006-07-01,sum_25_weighted,1.531785
2006-08-01,sum_25_weighted,1.547525
2006-09-01,sum_25_weighted,1.54744
2006-10-01,sum_25_weighted,1.57825
2006-11-01,sum_25_weighted,1.57976
2006-12-01,sum_25_weighted,1.584835
2007-01-01,sum_25_weighted,1.6013125
2007-02-01,sum_25_weighted,1.598275
2007-03-01,sum_25_weighted,1.613625
2007-04-01,sum_25_weighted,1.6346
2007-05-01,sum_25_weighted,1.6139
2007-06-01,sum_25_weighted,1.610125
2007-07-01,sum_25_weighted,1.585125
2007-08-01,sum_25_weighted,1.57397
2007-09-01,sum_25_weighted,1.61789
2007-10-01,sum_25_weighted,1.652175
2007-11-01,sum_25_weighted,1.661525
2007-12-01,sum_25_weighted,1.69429
2008-01-01,sum_25_weighted,1.69719
2008-02-01,sum_25_weighted,1.672615
2008-03-01,sum_25_weighted,1.681425
2008-04-01,sum_25_weighted,1.718665
2008-05-01,sum_25_weighted,1.792615
2008-06-01,sum_25_weighted,1.809415
2008-07-01,sum_25_weighted,1.769685
2008-08-01,sum_25_weighted,1.86154
2008-09-01,sum_25_weighted,1.85124
2008-10-01,sum_25_weighted,1.887265
2008-11-01,sum_25_weighted,1.930365
2008-12-01,sum_25_weighted,1.91154
2009-01-01,sum_25_weighted,1.9282525
2009-02-01,sum_25_weighted,1.951715
2009-03-01,sum_25_weighted,1.93507
2009-04-01,sum_25_weighted,1.94696
2009-05-01,sum_25_weighted,1.962745
2009-06-01,sum_25_weighted,1.95847
2009-07-01,sum_25_weighted,1.96507
2009-08-01,sum_25_weighted,1.92257
2009-09-01,sum_25_weighted,1.92717
2009-10-01,sum_25_weighted,1.96037
2009-11-01,sum_25_weighted,1.929555
2009-12-01,sum_25_weighted,1.971205
2010-01-01,sum_25_weighted,1.97647
2010-02-01,sum_25_weighted,1.96022
2010-03-01,sum_25_weighted,1.9741
2010-04-01,sum_25_weighted,1.9575
2010-05-01,sum_25_weighted,1.9752525
2010-06-01,sum_25_weighted,1.98729
2010-07-01,sum_25_weighted,1.99132
2010-08-01,sum_25_weighted,1.991495
2010-09-01,sum_25_weighted,1.96737
2010-10-01,sum_25_weighted,1.962225
2010-11-01,sum_25_weighted,1.96739
2010-12-01,sum_25_weighted,1.99772
2011-01-01,sum_25_weighted,2.01322
2011-02-01,sum_25_weighted,2.022505
2011-03-01,sum_25_weighted,1.96366
2011-04-01,sum_25_weighted,2.023945
2011-05-01,sum_25_weighted,2.036285
2011-06-01,sum_25_weighted,2.06952
2011-07-01,sum_25_weighted,2.019905
2011-08-01,sum_25_weighted,1.977665
2011-09-01,sum_25_weighted,2.00249
2011-10-01,sum_25_weighted,1.927175
2011-11-01,sum_25_weighted,1.99145
2011-12-01,sum_25_weighted,2.015325
2012-01-01,sum_25_weighted,2.021575
2012-02-01,sum_25_weighted,2.024825
2012-03-01,sum_25_weighted,1.98295
2012-04-01,sum_25_weighted,1.994865
2012-05-01,sum_25_weighted,1.981665
2012-06-01,sum_25_weighted,1.966865
2012-07-01,sum_25_weighted,1.96809
2012-08-01,sum_25_weighted,1.974665
2012-09-01,sum_25_weighted,1.989115
2012-10-01,sum_25_weighted,1.98649
2012-11-01,sum_25_weighted,2.030615
2012-12-01,sum_25_weighted,2.01924
2013-01-01,sum_25_weighted,2.044765
2013-02-01,sum_25_weighted,2.02469
2013-03-01,sum_25_weighted,1.973525
2013-04-01,sum_25_weighted,2.013315
2013-05-01,sum_25_weighted,2.046915
2013-06-01,sum_25_weighted,2.063215
2013-07-01,sum_25_weighted,2.050125
