quote_date,item_id,p_mean,p_75,p_median,p_25,date,dateStata,dateISO,obs,year,month,quarter,itemName
202012,220318,8.246469,8.95,7.95,6.75,395,2020-12-01,01/12/2020,94790,2020,12,4,Indian
202101,220319,6.057927,6.5,5.8,5.2,396,2021-01-01,01/01/2021,94079,2021,1,1,Chinese
202101,220318,8.158072,8.95,7.795,6.75,396,2021-01-01,01/01/2021,94079,2021,1,1,Indian
202101,220316,9.314452,11.95,7.99,5.99,396,2021-01-01,01/01/2021,94079,2021,1,1,Pizza
202101,220301,6.960196,7.8,7,6,396,2021-01-01,01/01/2021,94079,2021,1,1,Fish and Chips
202102,220319,6.052037,6.5,5.8,5.2,397,2021-02-01,01/02/2021,98049,2021,2,1,Chinese
202102,220318,8.158172,8.95,7.75,6.75,397,2021-02-01,01/02/2021,98049,2021,2,1,Indian
202102,220301,6.925598,7.9,6.9,6,397,2021-02-01,01/02/2021,98049,2021,2,1,Fish and Chips
202102,220316,9.199755,11.79,7.995,5.99,397,2021-02-01,01/02/2021,98049,2021,2,1,Pizza
202103,220316,9.331109,11.79,8.725,5.99,398,2021-03-01,01/03/2021,100972,2021,3,1,Pizza
202103,220319,6.034539,6.5,5.8,5.3,398,2021-03-01,01/03/2021,100972,2021,3,1,Chinese
202103,220318,8.121255,8.95,7.77,6.75,398,2021-03-01,01/03/2021,100972,2021,3,1,Indian
202103,220301,7.014179,7.9,7,6,398,2021-03-01,01/03/2021,100972,2021,3,1,Fish and Chips
202104,220316,9.39646,11.79,8.95,5.99,399,2021-04-01,01/04/2021,102092,2021,4,2,Pizza
202104,220318,8.2175,8.95,7.795,6.75,399,2021-04-01,01/04/2021,102092,2021,4,2,Indian
202104,220319,6.078638,6.5,5.8,5.2,399,2021-04-01,01/04/2021,102092,2021,4,2,Chinese
