YEAR,STATE,Coal,Geothermal,Hydroelectric Conventional,Natural Gas,Nuclear,Other,Other Biomass,Other Gases,Petroleum,Pumped Storage,Solar Thermal and Photovoltaic,Total,Wind,Wood and Wood Derived Fuels,Total Renewables ,Including Nuclear
1991,US-TOTAL,51.74778206,0.519436847,9.401857435,12.41307682,19.92860008,0.15416913,0.509621696,0.368781219,3.895881854,-0.147746654,0.015347946,100,0.096003386,1.097188179,11.63945549,31.56805557
1991,UT,94.69510592,0.610508011,2.055224978,1.802877122,0,0,0,0.668073913,2.964607164,0,0,100,0,0,2.665732989,2.665732989
1991,VA,45.35319185,0,1.97345675,3.162645082,43.6445522,0,1.281090091,0,4.301178455,-1.896002517,6.03E-05,100,0,2.17982779,5.434434931,49.07898713
1991,VT,0,0,19.53826894,1.769511237,76.24954412,0,0,0,1.138950185,0,0,100,0,2.345348029,21.88361697,98.13316109
1991,WA,7.723083111,0,86.84933305,0.447576052,4.111835221,2.92E-06,0.045331725,0.094747222,0.030294381,0,0,100,0,0.697796324,87.5924611,91.70429632
1991,WI,69.87295169,0,5.098864214,0.773126473,22.26933883,0,0.274912825,0,279.2868317,0,0,100,1.22E-05,1.378026671,6.75181591,29.02115474
1991,WV,97.88089369,0,1.451008996,0.080093991,0,0.000269668,0,0.243094416,0.344639237,0,0,100,0,0,1.451008996,1.451008996
1991,WY,96.90307144,0,1.872677322,0.818768953,0,0.120847196,0,0,1.910724786,0,0,100,0,0.128351321,2.001028643,2.001028643
1992,AK,9.357405145,0,17.32817155,60.66577533,0,0,0.307544281,0,9.851042499,0,0,100,0,2.490061196,20.12577703,20.12577703
1992,AL,64.2211815,0,10.77343967,1.465922689,20.36809338,0,0.030230666,0.345169313,5.686808505,0,0,100,0,2.591345596,13.39501593,33.76310931
1992,AR,50.55489594,0,8.497072455,8.621303508,28.49502395,0,0.037696779,0,0.132511111,0.006772991,0,100,0,3.654723265,12.1894925,40.68451645
1992,AZ,49.34903225,0,9.384126286,4.217221823,36.29725893,0,0,0,0.114892334,0.411699182,0,100,0,0.196209283,9.580335569,45.8775945
1992,CA,1.862494116,8.338149489,11.38401837,50.07172091,19.89458084,0.005763864,1.571137585,1.532376149,1.099903447,-0.002537319,0.225372677,100,1.616658621,2.400361256,25.535698,45.43027884
1992,CO,90.8463819,0,4.502597799,4.046157603,0,0,0.084615063,0,2.778047662,0.397444218,0,100,0,0,4.587212862,4.587212862
1992,CT,12.72790262,0,1.450506618,5.038532928,57.41155673,0,4.577589282,0.009650349,18.77296109,0.01130039,0,100,0,0,6.0280959,63.43965263
1992,DC,0,0,0,0,0,0,0,0,11.78247542,0,0,100,0,0,0,0
1992,DE,57.32699911,0,0,8.9912568,0,0.090417272,0,2.360742725,31.23058409,0,0,100,0,0,0,0
1992,FL,43.61587085,0,0.163867493,13.85450815,17.46867094,1.357557926,2.031455028,0.010556615,3924.06121,0,0,100,0,1.593246292,3.788568813,21.25723975
1992,GA,60.83507743,0,5.048692905,0.74907895,28.75596474,0,0.089426442,0,0.835476373,0.496187128,0,100,0,3.190096032,8.328215379,37.08418012
1992,HI,5.654225254,0.021677164,0.620887218,0,0,0,8.177613787,0.633869137,3098.090041,0,0,100,0.230342728,0.002580131,9.053101028,9.053101028
1992,IA,84.47740653,0,3.277920428,0.882092153,11.16553153,0,0.065609889,0,0.131439473,0,0,100,0,0,3.343530317,14.50906185
1992,ID,0.59454611,0,89.15949931,1.843078203,0,0.965187745,0.115489688,0,0.135771547,0,0,100,0,7.291206061,96.56619506,96.56619506
1992,IL,40.15470959,0,0.108795083,1.330454654,57.59038915,0,0.158063227,0.315571967,0.341980398,0,0,100,0,3.59E-05,0.26689421,57.85728336
1992,IN,95.64269791,0,0.556804589,1.172316209,0,0,0.033133514,2.111904897,35.56301698,0,0,100,0,0,0.589938103,0.589938103
1992,KS,69.05790743,0,0.030450308,4.278230901,26.46838179,0,0,0,0.164677312,0,0,100,0.000352261,0,0.030802569,26.49918436
1992,KY,94.99044999,0,4.870291769,0.0308101,0,0,0,0,0.226855044,0,0,100,0,0,4.870291769,4.870291769
1992,LA,27.03950646,0,0.894718689,50.39623778,14.1133133,0.956743279,0.109372345,1.584776671,1.452097745,0,0,100,0,3.453233731,4.457324765,18.57063807
1992,MA,27.60125779,0,2.521614198,21.15214023,11.82899823,0,4.195531018,0,1273.854383,-1.61816649,0,100,0,0.077869359,6.795014575,18.62401281
1992,MD,57.92132031,0,4.431219108,2.616831254,25.89760553,0,0.801056717,1.230219743,6.677239791,0,0,100,0,0.424507555,5.65678338,31.55438891
1992,ME,3.569626865,0,22.39676185,0.157407025,34.16319041,0,2.609403844,0,22.95272179,0,0,100,0,23.15853483,48.16470052,82.32789093
1992,MI,66.45553234,0,1.869738508,9.996270638,19.77375953,0.032720694,0.34672186,0.255716577,0.659624643,-0.808735122,0,100,0,1.418650328,3.635110696,23.40887023
1992,MN,63.83998623,0,2.639183938,1.604336573,27.73637491,0,1.304072413,0,272.7986912,0,0,100,0.000360169,1.264468732,5.208085252,32.94446016
1992,MO,82.70035368,0,2.600915692,0.417510123,14.19444693,0,0.000149249,0,0.142362806,-0.055738486,0,100,0,0,2.601064941,16.79551187
1992,MS,33.87120178,0,0,20.46764458,35.33078052,0,0,0,1197.324192,0,0,100,0,8.541293107,8.541293107,43.87207363
1992,MT,67.39024029,0,31.93417516,0.133472872,0,0,0,0,0.065468079,0,0,100,0.000193053,0.476450546,32.41081876,32.41081876
1992,NC,65.08499808,0,6.44266105,0.403537132,25.4132442,0.251464074,0.034071495,0,2498.292446,0.122728192,0,100,0,1.873090103,8.349822648,33.76306685
1992,ND,93.72170728,0,5.90558655,0.046619557,0,0,0,0.133914339,0.192172274,0,0,100,0,0,5.90558655,5.90558655
1992,NE,55.47335002,0,4.795639321,0.648779349,39.01125406,0,0.028695015,0,16.63479588,0,0,100,0,0,4.824334336,43.8355884
1992,NH,21.08244798,0,9.218811116,0.377059245,52.05081241,0,1.085508062,0,9.348748744,0,0,100,0,6.836612445,17.14093162,69.19174403
1992,NJ,12.38796552,0,0.051255022,33.24254843,49.45742505,0,2.070787628,0.110289906,54.18392905,-0.316732218,0,100,0,0,2.12204265,51.5794677
1992,NM,90.30609377,0,0.908625246,8.60256625,0,0,0.050332322,0,0.132382415,0,0,100,0,0,0.958957568,0.958957568
1992,NV,70.42783474,5.045378865,8.504924908,14.5291391,0,0.089641124,0,0,1.220069634,0,0,100,0,0,13.55030377,13.55030377
1992,NY,21.65933788,0,22.27621016,21.31792488,19.17835519,0,1.380309529,0.073033574,14.54498968,-0.819097907,0,100,0,0.388937027,24.04545672,43.22381191
1992,OH,88.07818103,0,0.183903692,0.247153661,10.75498558,0,0.253602076,0.053424435,1.572062976,0,0,100,0,0.241243521,0.678749289,11.43373487
1992,OK,59.99995441,0,6.482566008,32.83465364,0,0,0.003663528,0.144741334,0.103238686,-0.063719783,0,100,0,0.494902177,6.981131713,6.981131713
1992,OR,8.742586616,0,74.90436854,3.608212316,10.7983153,0,0.221499992,0,0.393487932,0,0,100,0.001272866,1.698582235,76.82572363,87.62403893
1992,PA,60.82567636,0,1.43675245,1.509336008,33.51774633,0.135854142,0.698062204,0.563651718,1.475984772,-0.51218511,0,100,0,0.349121122,2.483935776,36.00168211
1992,RI,0,0,0.207848985,96.39098011,0,0,1.333986736,0,36.4773821,0,0,100,0,0,1.541835721,1.541835721
1992,SC,31.92355738,0,4.463291468,0.365615665,61.3943879,0.008125871,0.086034195,0.023404181,0.213274794,-0.721981023,0,100,0,2.244289573,6.793615236,68.18800314
1992,SD,42.0447636,0,57.82533787,0.010277897,0,0,0,0,2.712051424,0,0,100,0,0,57.82533787,57.82533787
1992,TN,66.27513347,0,12.87625737,0.354363589,20.13371077,0.102300876,0.070437723,0.004442552,0.166689578,-0.541984865,0,100,0,0.558648935,13.50534403,33.6390548
1992,TX,41.8182489,0,0.90879568,46.38062428,8.438525894,0.111948538,0.117347923,1.215020806,0.402935972,0,0.000127113,100,0,0.44849138,1.474762096,9.91328799
1992,US-TOTAL,52.57029717,0.523300208,8.206798647,13.10278231,20.06484755,0.120623511,0.577714511,0.430309465,3.247665001,-0.135432605,0.01295899,100,0.093632727,1.184502506,10.59890759,30.66375514
1992,UT,94.9329303,0.560725157,1.812382227,1.899787464,0,0,0,0.692977816,1.358611135,0,0,100,0,0,2.373107384,2.373107384
1992,VA,46.53760161,0,1.934213786,4.393232623,41.40792415,0.000858882,1.348504448,0,3.287999291,-1.179956032,1.95E-05,100,0,2.269601728,5.552339462,46.96026361
1992,VT,0,0,18.92137847,1.296060772,76.68347247,0,0,0,0.211028268,0,0,100,0,3.043894819,21.96527329,98.64874576
1992,WA,11.16775756,0,79.00409342,1.472857567,6.582122017,1.16E-06,0.199820937,0.270601789,0.029769053,0,0,100,0,1.272976503,80.47689086,87.05901288
1992,WI,69.19940587,0,4.911920527,0.776364483,22.92167199,0,0.331997768,0,128.4578341,0,0,100,0,1.541113902,6.785032197,29.70670419
1992,WV,97.59531125,0,1.69114483,0.160798481,0,6.65E-05,0,0.231748536,0.320930383,0,0,100,0,0,1.69114483,1.69114483
1992,WY,97.42639561,0,1.496542794,0.803451174,0,0.106879769,0,0.020346616,1.832280954,0,0,100,0,0.008692398,1.505235192,1.505235192
1993,AK,9.318251852,0,22.77449597,55.78848918,0,0,0.269555206,0,10.26732319,0,0,100,0,1.581884604,24.62593578,24.62593578
1993,AL,67.78574319,0,9.094506945,1.269394134,17.94228305,0,0.002398905,0.340361611,7.137453616,0,0,100,0,3.371080398,12.46798625,30.4102693
1993,AR,44.67192416,0,11.13442437,6.674940357,33.38796396,0,0.073106133,0,0.180566495,0,0,100,0,3.877074532,15.08460504,48.472569
1993,AZ,54.43661018,0,9.78119933,2.828359398,32.20272606,0,0,0,0.107279668,0.476103151,0,100,0,0.150212536,9.931411866,42.13413793
1993,CA,1.673854353,7.99404336,21.65484089,42.59259616,16.88891576,0.006108862,1.546149031,1.656479686,1.926129544,0.151303828,0.247112901,100,1.59560926,2.066856372,35.10461181,51.99352757
1993,CO,89.66458795,0,5.583620859,4.41254359,0,0,0.100606939,0,0.647871692,0.212455056,0,100,0,0,5.684227798,5.684227798
1993,CT,10.66858072,0,1.261032111,4.208405212,66.29790609,0,4.244008535,0,13.33300349,-0.012936158,0,100,0,0,5.505040646,71.80294674
1993,DC,0,0,0,0,0,0,0,0,18.31071036,0,0,100,0,0,0,0
1993,DE,59.60086186,0,0,11.41302419,0,0.067079337,0,1.144485056,27.77454955,0,0,100,0,0,0,0
1993,FL,41.55660298,0,0.138728516,13.66039181,17.03821226,1.10373799,2.03835601,0.047660777,4987.991049,0,0,100,0,1.559637452,3.736721978,20.77493424
1993,GA,63.33573625,0,4.393058361,0.686279615,26.84475511,0,0.111775964,0,1.121675944,0.339529076,0,100,0,3.167189681,7.672024006,34.51677912
1993,HI,14.87450279,1.531112152,0.565615149,0,0,0,7.814566166,0.634251661,1646.806715,0,0,100,0.220682731,0.000724077,10.13270028,10.13270028
1993,IA,85.90481086,0,2.331372888,1.400944859,10.09394267,0,0.091310144,0,0.177618574,0,0,100,0,0,2.422683032,12.5166257
1993,ID,0.373088242,0,92.23474436,1.487985921,0,0.710537581,0.09721427,0,0.020314011,0,0,100,0,5.092328399,97.42428703,97.42428703
1993,IL,42.86440576,0,0.090757194,1.482443484,54.63350943,0,0.174993789,0.241987815,0.51172965,0,0,100,0,0.000172879,0.265923862,54.89943329
1993,IN,96.18065352,0,0.432671784,0.940412701,0,0,0.031315634,2.055730364,19.16513853,0,0,100,0,0,0.463987418,0.463987418
1993,KS,72.93901104,0,0.01356737,5.286658387,21.4997036,0,0,0,0.260901749,0,0,100,0.000157855,0,0.013725225,21.51342883
1993,KY,96.14640007,0,3.711997303,0.027803099,0,0,0,0,0.266060793,0,0,100,0,0,3.711997303,3.711997303
1993,LA,24.57941944,0,1.559908394,46.03352798,18.2310927,0.907008734,0.106829286,0.887093706,4.416008071,0,0,100,0,3.279111689,4.945849369,23.17694207
1993,MA,26.78156988,0,2.379697538,24.40750083,11.70112641,0,5.013586051,0,1500.944188,-1.830699836,0,100,0,0.284814606,7.678098195,19.37922461
1993,MD,55.86518202,0,3.686858307,1.717074844,27.34858515,0,0.675483028,1.057826459,9.25963887,0,0,100,0,0.389351319,4.751692654,32.1002778
1993,ME,3.517102815,0,20.78726437,0.063262636,36.76038178,0,3.132435505,0.030664254,18.59332731,0,0,100,0,23.77691384,47.69661372,84.4569955
1993,MI,60.12969116,0,1.656356147,9.420277981,26.81713746,0.034889072,0.458221913,0.00316917,0.715977615,-0.726919759,0,100,0,1.491199245,3.605777305,30.42291477
1993,MN,65.05892115,0,2.613059507,1.164136257,27.21589505,0,1.196565399,0,144.9867492,0,0,100,0.000420067,1.302558421,5.112603394,32.32849844
