State,SourceX,SourceY,Correlation
AZ,Natural Gas,Hydro,-0.5814446952246795
AZ,Natural Gas,Natural Gas,1.0
AZ,Natural Gas,Nuclear,0.5367500877935785
AZ,Natural Gas,Other,0.02268011381491978
AZ,Natural Gas,Other Biomass,0.6138889218911479
AZ,Natural Gas,Petroleum,-0.46027595121958054
AZ,Natural Gas,Pumped Storage,-0.7986997406594084
AZ,Natural Gas,Solar,0.6662265770452851
AZ,Natural Gas,Wind,0.6390012165550368
AZ,Natural Gas,Wood Fuels,0.41364387455536994
AZ,Nuclear,Coal,-0.13267003469461433
AZ,Nuclear,Hydro,0.012355029663457723
AZ,Nuclear,Natural Gas,0.5367500877935785
AZ,Nuclear,Nuclear,1.0
AZ,Nuclear,Other,-0.0425524122186136
AZ,Nuclear,Other Biomass,0.5105039221592429
AZ,Nuclear,Petroleum,-0.35763104132186047
AZ,Nuclear,Pumped Storage,-0.5307200878171839
AZ,Nuclear,Solar,0.5437141204044839
AZ,Nuclear,Wind,0.5437401322153469
AZ,Nuclear,Wood Fuels,0.33559352588031943
AZ,Other,Coal,0.12502102939764348
AZ,Other,Hydro,-0.06782527940164464
AZ,Other,Natural Gas,0.02268011381491978
AZ,Other,Nuclear,-0.0425524122186136
AZ,Other,Other,1.0
AZ,Other,Other Biomass,0.2344602676672494
AZ,Other,Petroleum,-0.1601307786357939
AZ,Other,Pumped Storage,-0.10567164803975146
AZ,Other,Solar,-0.1680970514515514
AZ,Other,Wind,-0.16678822257899623
AZ,Other,Wood Fuels,-0.35588585624996877
AZ,Other Biomass,Coal,0.28357098753530297
AZ,Other Biomass,Hydro,-0.47349257919185744
AZ,Other Biomass,Natural Gas,0.6138889218911479
AZ,Other Biomass,Nuclear,0.5105039221592429
AZ,Other Biomass,Other,0.2344602676672494
AZ,Other Biomass,Other Biomass,1.0
AZ,Other Biomass,Petroleum,-0.30191809343294695
AZ,Other Biomass,Pumped Storage,-0.7241524989474002
AZ,Other Biomass,Solar,0.28765428776461294
AZ,Other Biomass,Wind,0.31452914707690743
AZ,Other Biomass,Wood Fuels,0.08410574750097718
AZ,Petroleum,Coal,0.13062891896257653
AZ,Petroleum,Hydro,0.10159997888918981
AZ,Petroleum,Natural Gas,-0.46027595121958054
AZ,Petroleum,Nuclear,-0.35763104132186047
AZ,Petroleum,Other,-0.1601307786357939
AZ,Petroleum,Other Biomass,-0.30191809343294695
AZ,Petroleum,Petroleum,1.0
AZ,Petroleum,Pumped Storage,0.48810806217131036
AZ,Petroleum,Solar,-0.30388215094926807
AZ,Petroleum,Wind,-0.31965754315172573
AZ,Petroleum,Wood Fuels,-0.2644695124814954
AZ,Pumped Storage,Coal,0.14587379045889495
AZ,Pumped Storage,Hydro,0.5104938454657094
AZ,Pumped Storage,Natural Gas,-0.7986997406594084
AZ,Pumped Storage,Nuclear,-0.5307200878171839
AZ,Pumped Storage,Other,-0.10567164803975146
AZ,Pumped Storage,Other Biomass,-0.7241524989474002
AZ,Pumped Storage,Petroleum,0.48810806217131036
AZ,Pumped Storage,Pumped Storage,1.0
AZ,Pumped Storage,Solar,-0.6373159808195964
AZ,Pumped Storage,Wind,-0.5583039154638932
AZ,Pumped Storage,Wood Fuels,-0.3825314656018942
AZ,Solar,Coal,-0.71776968865061
AZ,Solar,Hydro,-0.3960805968675206
AZ,Solar,Natural Gas,0.6662265770452851
AZ,Solar,Nuclear,0.5437141204044839
AZ,Solar,Other,-0.1680970514515514
AZ,Solar,Other Biomass,0.28765428776461294
AZ,Solar,Petroleum,-0.30388215094926807
AZ,Solar,Pumped Storage,-0.6373159808195964
AZ,Solar,Solar,1.0
AZ,Solar,Wind,0.8892240370636458
AZ,Solar,Wood Fuels,0.6998245802049567
AZ,Wind,Coal,-0.631715161248907
AZ,Wind,Hydro,-0.3848771925292729
AZ,Wind,Natural Gas,0.6390012165550368
AZ,Wind,Nuclear,0.5437401322153469
AZ,Wind,Other,-0.16678822257899623
AZ,Wind,Other Biomass,0.31452914707690743
AZ,Wind,Petroleum,-0.31965754315172573
AZ,Wind,Pumped Storage,-0.5583039154638932
AZ,Wind,Solar,0.8892240370636458
AZ,Wind,Wind,1.0
AZ,Wind,Wood Fuels,0.675830892538353
AZ,Wood Fuels,Coal,-0.5065203811546071
AZ,Wood Fuels,Hydro,-0.3747774775366301
AZ,Wood Fuels,Natural Gas,0.41364387455536994
AZ,Wood Fuels,Nuclear,0.33559352588031943
AZ,Wood Fuels,Other,-0.35588585624996877
AZ,Wood Fuels,Other Biomass,0.08410574750097718
AZ,Wood Fuels,Petroleum,-0.2644695124814954
AZ,Wood Fuels,Pumped Storage,-0.3825314656018942
AZ,Wood Fuels,Solar,0.6998245802049567
AZ,Wood Fuels,Wind,0.675830892538353
AZ,Wood Fuels,Wood Fuels,1.0
CA,Coal,Coal,1.0
CA,Coal,Geothermal,0.7753497892174304
CA,Coal,Hydro,0.31028666133887534
