Year,Name,State,Source,Percent
1991,South Carolina,SC,Total Renewable,6.301696535
1991,Tennessee,TN,Coal,63.30877616
1991,Tennessee,TN,Hydro,14.27030263
1991,Tennessee,TN,Natural Gas,0.258895833
1991,Tennessee,TN,Nuclear,21.76943582
1991,Tennessee,TN,Petroleum,0.226090899
1991,Tennessee,TN,Biomass,0.605200181
1991,Tennessee,TN,Total Renewable,14.87550281
1991,Missouri,MO,Coal,79.72205116
1991,Missouri,MO,Hydro,1.851003012
1991,Missouri,MO,Natural Gas,1.807368255
1991,Missouri,MO,Nuclear,16.50172173
1991,Missouri,MO,Petroleum,0.197016188
1991,Missouri,MO,Total Renewable,1.851003012
1991,North Dakota,ND,Coal,93.31481952
1991,North Dakota,ND,Hydro,6.346597085
1991,North Dakota,ND,Natural Gas,0.003396058
1991,North Dakota,ND,Petroleum,0.190200941
1991,North Dakota,ND,Total Renewable,6.346597085
1991,Alabama,AL,Coal,65.57615015
1991,Alabama,AL,Hydro,12.11637966
1991,Alabama,AL,Natural Gas,1.376896778
1991,Alabama,AL,Nuclear,17.87953909
1991,Alabama,AL,Petroleum,0.189019489
1991,Alabama,AL,Biomass,2.531778102
1991,Alabama,AL,Total Renewable,14.64815777
1991,Kansas,KS,Coal,71.81879984
1991,Kansas,KS,Hydro,0.032383572
1991,Kansas,KS,Natural Gas,10.00752266
1991,Kansas,KS,Nuclear,17.95427398
1991,Kansas,KS,Petroleum,0.186891239
1991,Kansas,KS,Wind,0.000128713
1991,Kansas,KS,Total Renewable,0.032512285
1991,Arizona,AZ,Coal,48.44719064
1991,Arizona,AZ,Hydro,10.02274452
1991,Arizona,AZ,Natural Gas,3.312951617
1991,Arizona,AZ,Nuclear,37.34348715
1991,Arizona,AZ,Petroleum,0.174694261
1991,Arizona,AZ,Biomass,0.158904682
1991,Arizona,AZ,Total Renewable,10.18164921
1991,Arkansas,AR,Coal,48.32499591
1991,Arkansas,AR,Hydro,8.725356597
1991,Arkansas,AR,Natural Gas,8.179051052
1991,Arkansas,AR,Nuclear,31.14736907
1991,Arkansas,AR,Petroleum,0.167908761
1991,Arkansas,AR,Biomass,3.420625947
1991,Arkansas,AR,Total Renewable,12.14598254
1991,Wyoming,WY,Coal,96.90307144
1991,Wyoming,WY,Hydro,1.872677322
1991,Wyoming,WY,Natural Gas,0.818768953
1991,Wyoming,WY,Petroleum,0.156283764
1991,Wyoming,WY,Biomass,0.128351321
1991,Wyoming,WY,Total Renewable,2.001028643
