,Year,State,Source,Percentage
287,1990,MA,Percentage Hydro,3.1379308603843294
288,1990,MA,Percentage Natural Gas,15.40453720203187
289,1990,MA,Percentage Nuclear,12.734215667117823
290,1990,MA,Percentage Other,0.0
291,1990,MA,Percentage Other Biomass,3.919807512549731
292,1990,MA,Percentage Other Gases,0.002084850344544126
293,1990,MA,Percentage Petroleum,37.93370633064305
294,1990,MA,Percentage Solar,0.0
295,1990,MA,Percentage Total,100.0
296,1990,MA,Percentage Wind,0.0
297,1990,MA,Percentage Wood Fuels,0.0
298,1990,MA,Percentage Total Renewable,7.057738372934061
299,1990,MA,Percentage Renewable Including Nuclear,19.791954040051884
300,1990,MD,Percentage Coal,70.8933568282916
301,1990,MD,Percentage Geothermal,0.0
302,1990,MD,Percentage Hydro,6.932301301731497
303,1990,MD,Percentage Natural Gas,4.590885937558236
304,1990,MD,Percentage Nuclear,3.7736113052740743
305,1990,MD,Percentage Other,0.0
306,1990,MD,Percentage Other Biomass,1.1189636711479412
307,1990,MD,Percentage Other Gases,1.4721449289452009
308,1990,MD,Percentage Petroleum,10.76907470689903
309,1990,MD,Percentage Solar,0.0
310,1990,MD,Percentage Total,100.0
311,1990,MD,Percentage Wind,0.0
312,1990,MD,Percentage Wood Fuels,0.4496613201524189
313,1990,MD,Percentage Total Renewable,8.500926293031858
314,1990,MD,Percentage Renewable Including Nuclear,12.274537598305931
315,1990,ME,Percentage Coal,2.8422024463292206
316,1990,ME,Percentage Geothermal,0.0
317,1990,ME,Percentage Hydro,25.652404419060463
318,1990,ME,Percentage Natural Gas,0.31848711533803997
319,1990,ME,Percentage Nuclear,30.482395161574548
320,1990,ME,Percentage Other,0.0
321,1990,ME,Percentage Other Biomass,2.262621869013786
322,1990,ME,Percentage Other Gases,0.0
323,1990,ME,Percentage Petroleum,19.322070079707693
324,1990,ME,Percentage Solar,0.0
325,1990,ME,Percentage Total,100.0
326,1990,ME,Percentage Wind,0.0
327,1990,ME,Percentage Wood Fuels,19.11981890897625
328,1990,ME,Percentage Total Renewable,47.034845197050494
329,1990,ME,Percentage Renewable Including Nuclear,77.51724035862505
330,1990,MI,Percentage Coal,67.0268301824539
331,1990,MI,Percentage Geothermal,0.0
332,1990,MI,Percentage Hydro,1.6269461112015513
333,1990,MI,Percentage Natural Gas,7.8332766355362295
334,1990,MI,Percentage Nuclear,21.597598242737735
335,1990,MI,Percentage Other,0.0
336,1990,MI,Percentage Other Biomass,0.3106564231724894
337,1990,MI,Percentage Other Gases,0.34074544889119585
338,1990,MI,Percentage Petroleum,0.8612105386605203
339,1990,MI,Percentage Solar,0.0
340,1990,MI,Percentage Total,100.0
341,1990,MI,Percentage Wind,0.0
342,1990,MI,Percentage Wood Fuels,1.097307501417878
343,1990,MI,Percentage Total Renewable,3.034910035791919
344,1990,MI,Percentage Renewable Including Nuclear,24.632508278529656
345,1990,MN,Percentage Coal,65.4191642069714
346,1990,MN,Percentage Geothermal,0.0
347,1990,MN,Percentage Hydro,1.9898735037743809
348,1990,MN,Percentage Natural Gas,1.2533881756685847
349,1990,MN,Percentage Nuclear,28.184806187900474
350,1990,MN,Percentage Other,0.0
351,1990,MN,Percentage Other Biomass,1.125625186090783
352,1990,MN,Percentage Other Gases,0.0
353,1990,MN,Percentage Petroleum,1.0397262378206311
354,1990,MN,Percentage Solar,0.0
355,1990,MN,Percentage Total,100.0
356,1990,MN,Percentage Wind,0.0006175938654447781
357,1990,MN,Percentage Wood Fuels,0.9867989079083034
358,1990,MN,Percentage Total Renewable,4.102915191638912
359,1990,MN,Percentage Renewable Including Nuclear,32.287721379539384
360,1990,MO,Percentage Coal,82.21477055095772
361,1990,MO,Percentage Geothermal,0.0
362,1990,MO,Percentage Hydro,3.6933622204703633
363,1990,MO,Percentage Natural Gas,0.5258536113610758
364,1990,MO,Percentage Nuclear,13.475413051071028
365,1990,MO,Percentage Other,0.0
