Year,Name,State,Percentage Coal,Percentage Geothermal,Percentage Hydro,Percentage Natural Gas,Percentage Nuclear,Percentage Other,Percentage Other Biomass,Percentage Other Gases,Percentage Petroleum,Percentage Solar,Percentage Total,Percentage Wind,Percentage Wood Fuels,Percentage Total Renewable,Percentage Renewable Including Nuclear,co2 per cap
1992,Kansas,KS,69.05790743,,0.030450308,4.278230901,26.46838179,,,,0.164677312,,100,0.000352261,,0.030802569,26.49918436,25.8
1992,Kentucky,KY,94.99044999,,4.870291769,0.0308101,,,,,0.108448138,,100,,,4.870291769,4.870291769,32.9
1992,Louisiana,LA,27.03950646,,0.894718689,50.39623778,14.1133133,0.956743279,0.109372345,1.584776671,1.452097745,,100,,3.453233731,4.457324765,18.57063806,46.1
1992,Massachusetts,MA,27.60125779,,2.521614198,21.15214023,11.82899823,,4.195531018,,34.24075566,,100,,0.077869359,6.795014575,18.6240128,13.9
1992,Maryland,MD,57.92132031,,4.431219108,2.616831254,25.89760553,,0.801056717,1.230219743,6.677239791,,100,,0.424507555,5.656783379,31.55438891,13.7
1992,Maine,ME,3.569626865,,22.39676185,0.157407025,34.16319041,,2.609403844,,13.94507517,,100,,23.15853483,48.16470053,82.32789094,15.5
1992,Michigan,MI,66.45553234,,1.869738508,9.996270638,19.77375953,0.032720694,0.34672186,0.255716577,0.659624643,,100,,1.418650328,3.635110696,23.40887023,18.7
1992,Minnesota,MN,63.83998623,,2.639183938,1.604336573,27.73637491,,1.304072413,,1.611217042,,100,0.000360169,1.264468732,5.208085251,32.94446016,17.8
1992,Missouri,MO,82.70035368,,2.600915692,0.417510123,14.19444693,,0.000149249,,0.142362806,,100,,,2.601064941,16.79551187,19.8
1992,Mississippi,MS,33.87120178,,,20.46764458,35.33078052,,,,1.789080017,,100,,8.541293107,8.541293107,43.87207362,18.4
1992,Montana,MT,67.39024029,,31.93417516,0.133472872,,,,,0.065468079,,100,0.000193053,0.476450546,32.41081876,32.41081876,37.0
1992,North Carolina,NC,65.08499808,,6.44266105,0.403537132,25.4132442,0.251464074,0.034071495,,0.374205669,,100,,1.873090103,8.349822648,33.76306685,17.6
1992,North Dakota,ND,93.72170728,,5.90558655,0.046619557,,,,0.133914339,0.192172274,,100,,,5.90558655,5.90558655,74.7
1992,Nebraska,NE,55.47335002,,4.795639321,0.648779349,39.01125406,,0.028695015,,0.042282227,,100,,,4.824334336,43.8355884,20.2
1992,New Hampshire,NH,21.08244798,,9.218811116,0.377059245,52.05081241,,1.085508062,,9.348748744,,100,,6.836612445,17.14093162,69.19174403,12.9
